keys,ru,en
VEND_GREET_DEFAULT,"Ну, чё принёс?","So, whatcha got?"
VEND_SCREAM_DEFAULT,"ЭТО ЧТО ТАКОЕ?! На стол, на стол.","WHAT IS THAT?! On the counter, on the counter."
VEND_DEAL_DEFAULT,"Ладно. Забираю.","Fine. I'll take it."
VEND_REJECT_DEFAULT,"Ты в своём уме? Столько это не стоит.","Are you out of your mind? Not worth that."
VEND_PHOBIA_DEFAULT,"УБЕРИ ЭТО! УБЕРИ!!!","GET THAT AWAY! AWAY!!!"
VEND_COUNTER_OFFER,"Хм. Даю $%d. Но докажи.","Hm. $%d. But prove it."
VEND_MISS_1,"Вот и я так думал. Моя цена.","Thought so. My price."
VEND_MISS_2,"Мимо. Берёшь что дают.","Missed. You take what you get."
VEND_MISS_3,"Спор проигран. Спасибо за вещь.","Argument lost. Thanks for the item."
VEND_SHARDS_LAND,"Это… осколки. Ты серьёзно?","That's… shards. Seriously?"
VEND_SHARDS_DEAL,"Доллар. За мусор — доллар. И то из жалости.","One dollar. For trash — one dollar. Out of pity."
VEND_ILLEGAL_OK,"Тихо. Не ори. Беру, надбавка за молчание.","Quiet. Don't shout. I'll take it, silence tax included."
VEND_ILLEGAL_POLICE,"ЭТО ЧТО, КРАДЕНОЕ?! АЛЛО, ПОЛИЦИЯ!","IS THAT STOLEN?! HELLO, POLICE!"
VEND_STOLEN_OK,"Горячее. Беру. Надбавка за риск.","Hot goods. Taking it. Risk premium."
VEND_STOLEN_POLICE,"ЭТО С ЧУЖОГО ДВОРА?! АЛЛО, ПОЛИЦИЯ!","THAT'S FROM SOMEONE'S YARD?! HELLO, POLICE!"
VEND_COUNTER_EMPTY,"Прилавок пустой. Положи что-нибудь.","Counter's empty. Put something down."
VEND_CLOSED,"ЗАКРЫТО — открыть за $%d","CLOSED — open for $%d"
VEND_UNLOCK_HINT,"[E] Открыть скупщика за $%d","[E] Unlock vendor for $%d"
VEND_NEED_PREV,"Сначала договорись с: %s","First make friends with: %s"
VEND_TOO_POOR,"Не хватает $%d в котле","Need $%d in the pot"
VEND_UNLOCKED,"Открыт скупщик: %s","Vendor unlocked: %s"
VEND_HINT_EMPTY,"Принеси хлам: положи на прилавок или в жёлтую зону, потом [E]","Bring junk: drop it on the counter or in the yellow zone, then [E]"
VEND_HINT_SELL,"[E] Торговаться (%d на прилавке)","[E] Haggle (%d on the counter)"
VEND_HINT_REFUSING,"Скупщик в шоке. Подожди.","Vendor is in shock. Wait."
VEND_SOLD_TOAST,"Продано: %s — $%d","Sold: %s — $%d"
HAGGLE_TITLE,"Скупщик: %s","Vendor: %s"
HAGGLE_FAIR,"его цена","his price"
HAGGLE_BTN_OFFER,Предложить,Offer
HAGGLE_BTN_PHONE,Позвонить,Call
HAGGLE_BTN_CANCEL,Отмена,Cancel
HAGGLE_HINT_FAIR,"Согласится сразу. Мало, но верно.","He'll accept right away. Small but sure."
HAGGLE_HINT_MID,"Поспорит: широкое зелёное, средние деньги.","He'll argue: wide green, medium money."
HAGGLE_HINT_GREEDY,"Пошлёт. Полоска узкая: жирно или почти ничего.","He'll scoff. Narrow bar: fat cash or almost nothing."
HAGGLE_BAR_TITLE,"Попади в зелёное: $%d   промах: $%d","Hit the green: $%d   miss: $%d"
HAGGLE_BAR_PARTIAL,"Он частично согласен. Докажи.","He half agrees. Prove it."
HAGGLE_BAR_REJECT,"Он отказал. Жирный оффер — узкое окно.","He refused. Fat offer — tiny window."
HAGGLE_BAR_HINT,"[ЛКМ / E / Пробел] — стоп","[LMB / E / Space] — stop"
HAGGLE_HIT,"ПОПАЛ! +$%d","HIT! +$%d"
HAGGLE_MISS,"МИМО. $%d","MISS. $%d"
BET_TITLE,"Ставка котлом","Bet from the pot"
BET_SUB,"Красное или чёрное. Зелёное — забирает дом. Дом всегда прав.","Red or black. Green — house takes all. House is always right."
BET_RED,КРАСНОЕ,RED
BET_BLACK,ЧЁРНОЕ,BLACK
PHONE_APP,"ЦеноБот 📷 оценщик","PriceBot 📷 appraiser"
PHONE_HINT,"Наведи на вещь и нажми E","Aim at an item and press E"
PHONE_ESTIMATE,"%s ≈ $%d (ЦеноБот)","%s ≈ $%d (PriceBot)"
PHONE_CONFIDENT,"Точно %s. Рыночная цена $%d. Гарантия 100%%.","Definitely %s. Market value $%d. 100%% guaranteed."
PHONE_FLOOR,"Похоже на пол. $0","Looks like a floor. $0"
PHONE_NONE,"Телефона нет. Оценивай глазами.","No phone. Use your eyes."
NPC_DEALER,Крупье,Dealer
NPC_LOCKSMITH,Вскрывальщик,Locksmith
DEALER_GREET_1,"Ставки, господа. Дом ждёт.","Place your bets. The house is waiting."
DEALER_GREET_2,"Красное или чёрное? Зелёное — моё.","Red or black? Green is mine."
DEALER_SPIN_1,"Ставок больше нет!","No more bets!"
DEALER_SPIN_2,"Крутим. Молитесь.","Spinning. Pray."
DEALER_SPIN_3,"Колесо решит. Колесо всегда решает.","The wheel decides. The wheel always decides."
DEALER_RED_1,"КРАСНОЕ!","RED!"
DEALER_RED_2,"Красное. Как ваши глаза.","Red. Like your eyes."
DEALER_BLACK_1,"ЧЁРНОЕ!","BLACK!"
DEALER_BLACK_2,"Чёрное. Как ваше будущее.","Black. Like your future."
DEALER_GREEN_1,"ЗЕЛЁНОЕ! Дом забирает всё.","GREEN! House takes everything."
DEALER_GREEN_2,"Зелёное. Какая неожиданность.","Green. What a surprise."
DEALER_WIN_1,"Повезло. Ещё разок?","Lucky. One more?"
DEALER_WIN_2,"Дом запомнил ваше лицо.","The house remembers your face."
DEALER_LOSE_1,"Спасибо за вклад в казино.","Thank you for your donation."
DEALER_LOSE_2,"Пати смотрит. Пати гордится.","Your party is watching. Proudly."
DEALER_LOSE_3,"Дом не проигрывает. Дом — это я.","The house doesn't lose. I am the house."
DEALER_NOBETS_1,"Ставок нет — колесо спит.","No bets — wheel sleeps."
DEALER_WAIT_1,"Колесо крутится. Не дёргай.","Wheel's spinning. Hands off."
DEALER_BROKE_1,"Котёл пуст? Идите продайте вазу.","Pot's empty? Go sell a vase."
LOCK_SIGN,"ВСКРЫВАЛЬЩИК","LOCKSMITH"
LOCK_GREET_1,"Заперто? Клади. Ключей не гарантирую.","Locked? Put it down. No key guarantees."
LOCK_GREET_2,"Открываю всё. Иногда — напополам.","I open everything. Sometimes in halves."
LOCK_PAY_1,"Сначала деньги. Потом замок.","Money first. Lock second."
LOCK_PAY_2,"За спасибо не вскрываю.","Thank-yous don't pay the rent."
LOCK_WORK_1,"Тихо. Работаю.","Quiet. Working."
LOCK_WORK_2,"Ща… ща… не дыши.","Almost… almost… don't breathe."
LOCK_WORK_3,"Хрупкое? Поздно спрашивать.","Fragile? Too late to ask."
LOCK_SUCCESS_1,"Открыто. Чаевые не обязательны, но приветствуются.","Open. Tips optional but appreciated."
LOCK_SUCCESS_2,"Как консервная банка.","Like a tin can."
LOCK_FAIL_1,"Упс. Это уже было так.","Oops. It was like that already."
LOCK_FAIL_2,"Замок открыт. Остальное — нет.","Lock's open. The rest isn't."
LOCK_NOTHING_1,"На верстаке ничего запертого.","Nothing locked on the bench."
LOCK_WAIT_1,"Занят. Не мешай.","Busy. Don't bother me."
LOCK_HINT,"[E] Вскрыть %s за $%d","[E] Crack %s for $%d"
LOCK_HINT_EMPTY,"Положи запертое на верстак","Put a locked item on the bench"
LOCK_HINT_BUSY,"Вскрывальщик работает…","Locksmith is working…"
LOCK_TOO_POOR,"Не хватает $%d в котле","Need $%d in the pot"
LOCK_TOAST_OK,"Вскрыто: %s","Cracked: %s"
LOCK_TOAST_FAIL,"Вскрывальщик сломал: %s","Locksmith broke: %s"
CASINO_SIGN,"КАЗИНО","CASINO"
CASINO_SPINNING,"…","…"
CASINO_RED,"КРАСНОЕ","RED"
CASINO_BLACK,"ЧЁРНОЕ","BLACK"
CASINO_GREEN,"ЗЕЛЁНОЕ — ДОМ ЗАБИРАЕТ","GREEN — HOUSE TAKES ALL"
CASINO_HINT_BET,"[E] Поставить из котла (или положи вещь на красное/чёрное)","[E] Bet from the pot (or drop an item on red/black)"
CASINO_HINT_SPIN,"[E] Крутить колесо","[E] Spin the wheel"
CASINO_HINT_SPINNING,"Колесо крутится…","Wheel is spinning…"
CASINO_LOST_TOAST,"Проигрыш на глазах пати: %s","Lost in front of the party: %s"
CASINO_WON_TOAST,"Выигрыш: %s","Won: %s"
CASINO_NOTHING,"Ставок не было.","No bets were placed."
VEND_HINT_HOLDING,"Положи вещь на прилавок или в жёлтую зону (R), потом [E] — продать","Drop the item on the counter or in the yellow zone (R), then [E] to sell"
VEND_ZONE_PAINT,"СЮДА ХЛАМ / DROP JUNK HERE","DROP JUNK HERE"
VEND_COME_HERE,"Тащи сюда, в жёлтый квадрат — гляну!","Bring it here, into the yellow square - let me see!"
VEND_OBJECTIVE,"Продай: неси хлам скупщику «%s»","Sell: bring the junk to «%s»"
