fun_score,id_suggest,noun,adjective,context,shatter
124,evidence_hourglass,hourglass,evidence,won at casino,yes
117,haunted_rubber_chicken,rubber chicken,haunted,stolen then returned,maybe
116,evidence_ventriloquist_dummy,ventriloquist dummy,evidence,labeled EVIDENCE,maybe
116,haunted_megaphone,megaphone,haunted,stolen then returned,maybe
116,haunted_toaster,toaster,haunted,full of glitter,maybe
115,evidence_bowling_pin,bowling pin,evidence,with a lawsuit,maybe
111,gag_denture_cup,denture cup,gag,full of glitter,maybe
109,haunted_aquarium,aquarium,haunted,with a photo,yes
109,haunted_crystal_ball,crystal ball,haunted,with a lawsuit,yes
108,evidence_cash_register,cash register,evidence,welded shut,maybe
107,gag_novelty_glasses,novelty glasses,gag,smelling of fish,yes
105,evidence_waffle_iron,waffle iron,evidence,from a raid,maybe
102,burnt_hourglass,hourglass,burnt,labeled EVIDENCE,yes
102,expired_hourglass,hourglass,expired,full of glitter,yes
100,gag_hourglass,hourglass,gag,with mouse droppings,yes
99,evidence_cowbell,cowbell,evidence,with a lawsuit,maybe
99,evidence_drafting_set,drafting set,evidence,in a sock,maybe
99,evidence_pop_filter,pop filter,evidence,with a lawsuit,maybe
99,gag_apothecary_jar,apothecary jar,gag,welded shut,maybe
99,gag_boot_jack,boot jack,gag,with a lawsuit,maybe
99,gag_flash_cards,flash cards,gag,from a raid,maybe
99,gag_hypno_spiral,hypno spiral,gag,full of glitter,maybe
99,gag_ledger_book,ledger book,gag,from a raid,maybe
99,gag_lucky_cat,lucky cat,gag,from a divorce,maybe
99,haunted_brooder_lamp,brooder lamp,haunted,stolen then returned,yes
99,haunted_cushion_insert,cushion insert,haunted,still beeping,maybe
99,haunted_patch_bay,patch bay,haunted,with a lawsuit,maybe
99,haunted_payphone_handset,payphone handset,haunted,full of glitter,maybe
99,haunted_powder_horn,powder horn,haunted,welded shut,maybe
99,haunted_tongs_feeding,tongs feeding,haunted,with a lawsuit,maybe
98,evidence_bark_collar,bark collar,evidence,from a raid,maybe
98,evidence_box_fan,box fan,evidence,from a divorce,maybe
98,evidence_bubble_machine,bubble machine,evidence,from a raid,maybe
98,evidence_denture_adhesive,denture adhesive,evidence,still beeping,maybe
98,evidence_entrenching_tool,entrenching tool,evidence,still beeping,maybe
98,evidence_game_boy,Game Boy,evidence,full of glitter,maybe
98,evidence_harmonica,harmonica,evidence,labeled DO NOT SELL,maybe
98,evidence_porthole_frame,porthole frame,evidence,welded shut,maybe
98,evidence_salt_mix_bucket,salt mix bucket,evidence,still beeping,maybe
98,evidence_stretcher_fold,stretcher fold,evidence,won at casino,maybe
98,evidence_walker_banned,walker banned,evidence,labeled EVIDENCE,maybe
98,gag_barf_bag_signed,barf bag signed,gag,still beeping,maybe
98,gag_cigar_humidor,cigar humidor,gag,from a divorce,maybe
98,gag_confetti_cannon,confetti cannon,gag,labeled EVIDENCE,maybe
98,gag_fly_swatter_set,fly swatter set,gag,with a lawsuit,maybe
98,gag_heating_pad,heating pad,gag,labeled EVIDENCE,maybe
98,gag_ph_meter,pH meter,gag,with a lawsuit,maybe
98,gag_safe_dial_practice,safe dial practice,gag,won at casino,maybe
98,gag_signed_basketball,signed basketball,gag,labeled EVIDENCE,maybe
98,gag_trunk_travel,trunk travel,gag,won at casino,maybe
98,haunted_doubloon_plastic,doubloon plastic,haunted,stolen then returned,maybe
98,haunted_hamster_wheel,hamster wheel,haunted,labeled EVIDENCE,maybe
98,haunted_jukebox,jukebox,haunted,in a sock,maybe
98,haunted_uv_nail_lamp,UV nail lamp,haunted,welded shut,yes
98,haunted_wedding_cake_knife,wedding cake knife,haunted,smelling of fish,maybe
97,evidence_centrifuge_toy,centrifuge toy,evidence,labeled EVIDENCE,maybe
97,evidence_cone_of_shame,cone of shame,evidence,still beeping,maybe
97,evidence_cotton_candy_spinner,cotton candy spinner,evidence,full of glitter,maybe
97,evidence_egg_cup_set,egg cup set,evidence,with a lawsuit,maybe
97,evidence_eyepatch_silk,eyepatch silk,evidence,won at casino,maybe
97,evidence_fake_vomit,fake vomit,evidence,from a divorce,maybe
97,evidence_payphone_handset,payphone handset,evidence,labeled EVIDENCE,maybe
97,evidence_pipe_rack,pipe rack,evidence,labeled EVIDENCE,maybe
97,evidence_pool_noodle_bin,pool noodle bin,evidence,won at casino,maybe
97,evidence_rubber_duck_army,rubber duck army,evidence,from a divorce,maybe
97,evidence_thermos_giant,thermos giant,evidence,with a lawsuit,maybe
97,evidence_ultrasound_photo,ultrasound photo,evidence,stolen then returned,maybe
97,evidence_vhs_security_tapes,VHS security tapes,evidence,from a divorce,maybe
97,evidence_world_time_clock,world time clock,evidence,in a sock,maybe
97,gag_fire_extinguisher,fire extinguisher,gag,labeled EVIDENCE,maybe
97,gag_frisbee_glow,frisbee glow,gag,stolen then returned,maybe
97,gag_jumperoo,jumperoo,gag,from a divorce,maybe
97,gag_macrame_plant,macrame plant,gag,with a lawsuit,maybe
97,gag_trophy_bowling,trophy bowling,gag,in a sock,maybe
97,gag_waffle_iron,waffle iron,gag,with a note,maybe
97,haunted_cash_register,cash register,haunted,from a flood,maybe
97,haunted_fireworks_illegal,fireworks illegal,haunted,welded shut,maybe
97,haunted_hand_puppets,hand puppets,haunted,smelling of fish,maybe
97,haunted_key_cabinet,key cabinet,haunted,won at casino,maybe
97,haunted_meat_grinder,meat grinder,haunted,labeled EVIDENCE,maybe
97,haunted_sewing_form,sewing form,haunted,won at casino,maybe
97,haunted_walker_wheels,walker wheels,haunted,stolen then returned,maybe
97,plastic_snow_globe,snow globe,plastic,stolen then returned,yes
96,evidence_activity_gym,activity gym,evidence,with a lawsuit,maybe
96,evidence_hotel_key_board,hotel key board,evidence,with a lawsuit,maybe
96,evidence_modeling_clay,modeling clay,evidence,in a sock,maybe
96,evidence_paint_set_oils,paint set oils,evidence,smelling of fish,maybe
96,evidence_tuba_kids,tuba kids,evidence,welded shut,maybe
96,gag_bias_tape,bias tape,gag,stolen then returned,maybe
96,gag_bunsen_burner,bunsen burner,gag,won at casino,maybe
96,gag_hose_nozzle,hose nozzle,gag,labeled EVIDENCE,maybe
96,gag_laserdisc,LaserDisc,gag,still beeping,maybe
96,gag_live_rock_dry,live rock dry,gag,full of glitter,maybe
96,gag_shower_head_rain,shower head rain,gag,stolen then returned,maybe
96,gag_training_dummy,training dummy,gag,smelling of fish,maybe
96,haunted_bidet_attachment,bidet attachment,haunted,from a raid,maybe
96,haunted_bowling_pin,bowling pin,haunted,padlocked,maybe
96,haunted_card_shuffler,card shuffler,haunted,in a sock,maybe
96,haunted_gate_remote,gate remote,haunted,welded shut,maybe
96,haunted_heating_lamp,heating lamp,haunted,from a raid,yes
