keys,ru,en
ROADSIGN_HANGAR,→ АНГАР СУМОК,→ BAG HANGAR
ROADSIGN_STORAGE,→ STORAGE,→ STORAGE
ROADSIGN_GARAGES,→ ГАРАЖИ,→ GARAGES
ROADSIGN_PORT,→ ПОРТ / ДОКИ,→ PORT / DOCKS
ROADSIGN_TRAILER_PARK,→ ТРЕЙЛЕР-ПАРК,→ TRAILER PARK
ROADSIGN_CAR_MARKET,→ АВТОРЫНОК,→ CAR MARKET
ROADSIGN_VENDORS,→ СКУПЩИКИ,→ VENDORS
ROADSIGN_LOCKSMITH,→ ВСКРЫВАЛЬЩИК,→ LOCKSMITH
ROADSIGN_CASINO,→ КАЗИНО,→ CASINO
ROADSIGN_POLICE,→ УЧАСТОК,→ POLICE
CITY_BUMP,КОЧКА! ДЕРЖИ ХРУПКОЕ,BUMP! HOLD THE FRAGILE STUFF
CITY_TRAILER_PARK_NAME,ТРЕЙЛЕР-ПАРК «УЮТ»,COZY TRAILER PARK
CITY_STORAGE_NAME,СКЛАД «ХРАНИ ХЛАМ»,SELF STORAGE 'KEEP YOUR JUNK'
CITY_STORAGE_BROOM,"ПОДМЕТИ, А ТО...",BROOM CLEAN OR ELSE
CITY_GARAGES_NAME,ГСК «ЗАРЯ»,GARAGE CO-OP 'DAWN'
CITY_CAR_MARKET_NAME,ЧЕСТНЫЙ БОБ: ТАЧКИ,HONEST BOB'S CARS
CITY_CASINO_NAME,CASINO ROYALE-ISH,CASINO ROYALE-ISH
CITY_CASINO_MOTTO,ДОМ ВСЕГДА ВЫИГРЫВАЕТ. ЧЕСТНО.,THE HOUSE ALWAYS WINS. HONESTLY.
CITY_POLICE_NAME,ПОЛИЦИЯ,POLICE
CITY_LOCKSMITH_NAME,КЛЮЧИ • ЗАМКИ • ВСКРОЕМ ВСЁ,KEYS • LOCKS • WE OPEN STUFF
CITY_VENDOR_TINY,КРОХА-СКУПКА,TINY'S BUY-ALL
CITY_VENDOR_ANTIQUE,АНТИКВАРИАТ,ANTIQUES
CITY_VENDOR_HOUSEHOLD,ХОЗТОВАРЫ,HOUSEHOLD GOODS
CITY_VENDOR_TECH,ТЕХНО-СКУП,TECH-NO
CITY_VENDOR_DARK,СКУПАЮ ВСЁ. ТИХО.,BUYING ANYTHING. QUIETLY.
CITY_FERRY_NAME,ПАРОМ «НАДЕЖДА»,FERRY 'HOPE'
