keys,ru,en
NPC_AUCTIONEER,Аукционист,Auctioneer
NPC_CARETAKER,Смотритель,Caretaker
NPC_HUNTER,Хантер,Hunter
AUCTION_INTERACT_HINT,[E] Начать торги,[E] Start the auction
AUCTION_HINT_PREVIEW,Смотрим. Не трогать.,Preview. Don't touch.
AUCTION_HINT_BIDDING,"Торги идут. B — весло, ЛКМ — ставка","Bidding. B — paddle, LMB — bid"
AUCTION_HINT_HAMMER,Молот!,Hammer!
AUCTION_HINT_COOLDOWN,Следующий лот скоро,Next lot soon
AUCTION_HINT_LOCKED,Район закрыт,District locked
AUCTION_HINT_THREAT,[E] Показать ему ствол,[E] Show him the gun
AUCTION_CARETAKER_DONE_HINT,[E] Сдать ячейку,[E] Hand over the unit
AUCTION_START_PRICE,стартовая,starting price
AUCTION_NO_BIDS,ставок нет,no bids
AUCTION_TOO_POOR,В котле не хватает,Pot can't cover that
AUCTION_TOO_LOW,Минимум $%d,Minimum is $%d
AUCTION_ALREADY_LEADING,Ты и так ведёшь,You're already leading
AUCTION_NO_AUCTION,Рядом нет торгов,No auction nearby
AUCTION_SOLD_TO,Продано: %s за $%d,Sold: %s for $%d
AUCTION_YOU_WON,ТЫ ВЗЯЛ ЛОТ ЗА $%d. ЗАБИРАЙ.,YOU WON THE LOT FOR $%d. HAUL IT.
AUCTION_YOU_WON_TAKE,Лот твой. Дверь открыта — выноси.,Lot is yours. Door's open — carry it out.
AUCTION_CANT_PAY,Котёл пуст. Лот уплыл.,Pot is empty. Lot's gone.
AUCTION_TRESPASS_WARN,Смотритель заметил. Второй раз — ЧС.,Caretaker saw you. Next time — blacklist.
AUCTION_TRESPASS_BAN,Ты в ЧС площадки. Менты уже едут.,Blacklisted here. Cops are coming.
AUCTION_NO_SALE,Ставок нет. Лот снят.,No bids. Lot withdrawn.
