keys,ru,en
NPC_CARETAKER,Смотритель,Caretaker
CLEAROUT_DIRT,ГРЯЗЬ %d%%,DIRT %d%%
CLEAROUT_LOST,"Не вынесли %d вещей — пропало. Дверь закрыта.","%d items left inside — gone. Door's down."
CLEAROUT_DONE,"Вывоз закрыт: %d вещей на ~$%d","Clear-out done: %d items worth ~$%d"
CLEAROUT_LOCKED,"Вас заперли внутри. Штраф $%d, менты едут.","Locked inside. Fine $%d, cops on the way."
CLEAROUT_BROOM_DEPOSIT,"Пол грязный — залог $15 не вернули","Floor's dirty — $15 deposit kept"
CLEAROUT_BROOM_BLACKLIST,"Оставили свинарник. Площадка вас запомнила (ЧС).","Left a pigsty. This yard remembers you (blacklisted)."
CLEAROUT_CLEAN_OK,"Пол чистый. Залог вернули.","Floor's clean. Deposit returned."
CLEAROUT_NOT_YET,"Ещё %d вещей в ячейке. Выноси.","Still %d items in the unit. Carry them out."
CARETAKER_START_A,"Время пошло! Всё, что в ячейке — выносите. Что не вынесли — моё.","Clock's running! Everything out of the unit. What stays — is mine."
CARETAKER_START_B,"Купили — забирайте. Таймер вон там, я не глухой.","You bought it — take it. Timer's up there, I'm not deaf."
CARETAKER_HURRY_60_A,"Минута! Шевелитесь!","One minute! Move it!"
CARETAKER_HURRY_60_B,"Шестьдесят секунд, тащите, не любуйтесь!","Sixty seconds, haul it, don't admire it!"
CARETAKER_HURRY_30_A,"Полминуты! Бросай ерунду, бери дорогое!","Half a minute! Drop the junk, grab the good stuff!"
CARETAKER_HURRY_30_B,"Тридцать! Я дверь сам опущу, мне не жалко!","Thirty! I'll drop the door myself, no problem!"
CARETAKER_HURRY_10,"ДЕСЯТЬ СЕКУНД! ВОН ИЗ ЯЧЕЙКИ!","TEN SECONDS! OUT OF THE UNIT!"
CARETAKER_COUNT,%d!,%d!
CARETAKER_OVERTIME,"ВСЁ! Дверь вниз! Кто внутри — сам виноват!","TIME! Door's down! Whoever's inside — your problem!"
CARETAKER_LOCKED,"Там кто-то есть?.. Сидите тихо, менты уже едут.","Someone in there?.. Sit tight, cops are coming."
CARETAKER_LOST,"Что осталось — теперь моё. Спасибо за подарки.","What's left is mine now. Thanks for the gifts."
CARETAKER_BROOM,"Это что за пол?! Метлу в руки, свиньи! Залог не отдам.","What kind of floor is that?! Grab a broom, pigs! Deposit's mine."
CARETAKER_BROOM_BAD,"СВИНАРНИК! Больше сюда ни ногой! В список вас!","A PIGSTY! Never come back here! You're on the list!"
CARETAKER_CLEAN,"Хм. Чисто. Залог ваш. Не ждал.","Hm. Clean. Deposit's yours. Didn't expect that."
CARETAKER_TEAM,"Комод один не утащишь, гений. Зови кореша.","You won't drag that dresser alone, genius. Call a buddy."
CARETAKER_NOT_DONE,"Ты чего пришёл? Там ещё %d вещей лежит!","Why are you here? There's still %d items in there!"
CARETAKER_DONE_A,"Всё вынесли? Свободны. Следующий!","All out? You're free. Next!"
