keys,ru,en
STREET_DUMPSTER,"Мусорка — порыться","Dumpster — rummage"
STREET_DUMPSTER_EMPTY,"Пусто. Даже крысы объелись.","Empty. Even the rats gave up."
STREET_RAT,"Из мусорки выскочила крыса — она тоже искала антиквариат!","A rat jumped out — it was hunting antiques too!"
STREET_HINT,"В городе валяется хлам — тащи скупщикам","Junk is lying around town — haul it to the vendors"
STREET_FIND_0,"Опа, это уже не совсем мусор","Whoa, this isn't quite trash"
STREET_FIND_1,"Кто-то выкинул нормальную вещь. Дурак.","Someone threw away a decent thing. Idiot."
STREET_FIND_2,"Аукционный глаз зудит: это можно впарить","Auction-eye itch: this one will sell"
STREET_FIND_3,"Лежало в грязи, а внутри — почти сокровище","Sat in the dirt, almost a treasure"
STREET_FIND_4,"Мусорка выдала джекпот. Крошечный.","The dumpster hit a jackpot. A tiny one."
STREET_FIND_5,"Тащи к скупщикам, пока ворона не схватила","Haul it to the vendors before a crow steals it"
