keys,ru,en
SET_TITLE,Настройки,Settings
SET_BACK,Назад,Back
SET_RESET,Сбросить всё,Reset all
SET_RESET_BINDS,Сбросить клавиши,Reset all binds
SET_RESET_ACTION,Сбросить,Reset
SET_TAB_GAME,Игра,Game
SET_TAB_CONTROLS,Управление,Controls
SET_TAB_VIDEO,Видео,Video
SET_TAB_AUDIO,Звук,Audio
SET_OPEN,Настройки,Settings
SET_LOCALE,Язык,Language
SET_LOC_AUTO,Авто,Auto
SET_LOC_RU,Русский,Russian
SET_LOC_EN,English,English
SET_MOUSE,Чувствительность мыши,Mouse sensitivity
SET_INVERT_Y,Инвертировать ось Y,Invert Y axis
SET_FOV,Поле зрения,Field of view
SET_CROSSHAIR,Размер прицела,Crosshair size
SET_UI_SCALE,Масштаб интерфейса,UI scale
SET_SHAKE,Тряска камеры,Screen shake
SET_SUBTITLES,Субтитры,Subtitles
SET_PARTICLES,Частицы,Particles
SET_PART_LOW,Мало,Low
SET_PART_MED,Средне,Medium
SET_PART_HIGH,Много,High
SET_BINDS_HINT,"Нажми кнопку — назначь клавишу, мышь или колесо. Esc — отмена.","Click a bind, then press a key, mouse button or wheel. Esc cancels."
SET_PRESS_KEY,нажми клавишу…,press a key…
SET_CONFLICT,%s уже занята: %s,%s already used by %s
SET_NEED_BIND,Это действие нельзя оставить пустым,This action needs a binding
SET_UNKNOWN_ACTION,Неизвестное действие,Unknown action
SET_BAD_EVENT,Так не назначить,Can't bind that
SET_FULLSCREEN,Полный экран,Fullscreen
SET_VSYNC,Вертикальная синхронизация,VSync
SET_MSAA,Сглаживание,Anti-aliasing
SET_MSAA_OFF,Выкл,Off
SET_MSAA_2,2x,2x
SET_MSAA_4,4x,4x
SET_SHADOWS,Тени,Shadows
SET_SHAD_OFF,Выкл,Off
SET_SHAD_LOW,Низкие,Low
SET_SHAD_MED,Средние,Medium
SET_SHAD_HIGH,Высокие,High
SET_MAX_FPS,Лимит FPS,Max FPS
SET_FPS_UNLIM,Без лимита,Unlimited
SET_FPS_60,60,60
SET_FPS_120,120,120
SET_FPS_144,144,144
SET_FPS_240,240,240
SET_RENDER_SCALE,Масштаб 3D,3D render scale
SET_VOL_MASTER,Общая громкость,Master volume
SET_VOL_MUSIC,Музыка,Music
SET_VOL_SFX,Эффекты,Sound effects
SET_VOL_VOICE,Голос,Voice
SET_MIC_GAIN,Усиление микрофона,Mic gain
SET_VOICE_MUTED,Выключить голос,Mute voice
SET_PTT,Рация по клавише (PTT),Push to talk
SET_KEY_LMB,ЛКМ,LMB
SET_KEY_RMB,ПКМ,RMB
SET_KEY_MMB,СКМ,MMB
SET_KEY_WHEEL_UP,Колесо ↑,Wheel ↑
SET_KEY_WHEEL_DOWN,Колесо ↓,Wheel ↓
SET_KEY_WHEEL_LEFT,Колесо ←,Wheel ←
SET_KEY_WHEEL_RIGHT,Колесо →,Wheel →
SET_KEY_MB,Кнопка %d,Button %d
SET_KEY_SPACE,Пробел,Space
SET_KEY_SHIFT,Шифт,Shift
SET_KEY_BACKSPACE,←BS,Backspace
SET_ACT_MOVE_FORWARD,Вперёд,Move forward
SET_ACT_MOVE_BACK,Назад,Move back
SET_ACT_MOVE_LEFT,Влево,Move left
SET_ACT_MOVE_RIGHT,Вправо,Move right
SET_ACT_JUMP,Прыжок,Jump
SET_ACT_SPRINT,Бег,Sprint
SET_ACT_CROUCH,Присед,Crouch
SET_ACT_GRAB,Хват,Grab
SET_ACT_RELEASE,Отпустить,Release
SET_ACT_SECOND_HAND,Вторая рука,Second hand
SET_ACT_SWAP_HAND,Сменить руку,Swap hand
SET_ACT_USE,Использовать,Use
