id,builder,size_class,dx,dy,dz,mass,shards,container,capacity,cloth,light_fixture,base_color,secondary_color,friction,bounce
# ---- boxes / containers
box,box,TWO_HAND,0.45,0.35,0.35,2.0,4,1,3,0,0,b08a5a,8a6a40,0.8,0.05
box_small,box_small,ONE_HAND,0.25,0.15,0.18,0.5,4,1,2,0,0,c9a97a,9a7a50,0.8,0.05
crate,crate,TWO_HAND,0.6,0.45,0.45,8.0,5,1,4,0,0,a07a48,6a4e2a,0.9,0.02
suitcase,suitcase,TWO_HAND,0.65,0.22,0.45,4.0,4,1,4,0,0,6b4a2f,3a2a1a,0.8,0.05
chest,chest,TWO_HAND,0.7,0.45,0.45,12.0,5,1,4,0,0,5a3a20,c0a040,0.9,0.02
safe,safe,TEAM,0.5,0.6,0.5,60.0,4,1,3,0,0,3a3f45,8a8f95,0.9,0.0
barrel,barrel,TWO_HAND,0.55,0.85,0.55,15.0,5,0,3,0,0,6a4a2a,4a4a4a,0.7,0.1
bucket,bucket,ONE_HAND,0.3,0.3,0.3,0.8,4,1,2,0,0,3060a0,888888,0.7,0.1
toolbox,toolbox,TWO_HAND,0.45,0.22,0.22,3.0,4,1,3,0,0,c03020,333333,0.8,0.05
jewelry_box,jewelry_box,ONE_HAND,0.2,0.1,0.14,0.5,4,1,2,0,0,7a2040,d0b060,0.8,0.05
# ---- dishes / fragile
vase,vase,ONE_HAND,0.2,0.35,0.2,1.2,5,0,3,0,0,e0dcd0,7090b0,0.6,0.05
vase_tall,vase_tall,TWO_HAND,0.28,0.7,0.28,3.5,6,0,3,0,0,d8d0c8,a06040,0.6,0.05
plate,plate,ONE_HAND,0.26,0.02,0.26,0.4,5,0,3,0,0,f0f0ee,4060a0,0.6,0.05
plate_stack,plate_stack,ONE_HAND,0.26,0.14,0.26,2.2,6,0,3,0,0,f0efe8,c0c8d8,0.6,0.05
bowl,bowl,ONE_HAND,0.22,0.1,0.22,0.5,4,0,3,0,0,e8e0d0,806040,0.6,0.05
cup,cup,POCKET,0.09,0.1,0.09,0.3,4,0,3,0,0,ffffff,3050a0,0.6,0.05
kettle,kettle,ONE_HAND,0.22,0.25,0.22,1.0,4,0,3,0,0,d0d0d8,202020,0.7,0.05
teapot,teapot,ONE_HAND,0.22,0.2,0.22,0.8,5,0,3,0,0,f0e8e0,4080c0,0.6,0.05
bottle,bottle,ONE_HAND,0.08,0.32,0.08,1.0,5,0,3,0,0,305020,c0a040,0.6,0.05
jar,jar,ONE_HAND,0.1,0.15,0.1,0.6,4,0,3,0,0,c8d8e0,a0a0a0,0.6,0.05
can_paint,can_paint,ONE_HAND,0.18,0.2,0.18,2.5,4,0,3,0,0,d03060,888888,0.8,0.02
canister,canister,ONE_HAND,0.35,0.4,0.18,5.0,4,0,3,0,0,c02020,333333,0.8,0.05
jug,jug,ONE_HAND,0.18,0.3,0.12,2.0,4,0,3,0,0,202030,c0c0c0,0.7,0.05
glass,glass,POCKET,0.08,0.12,0.08,0.2,4,0,3,0,0,dce8f0,ffffff,0.5,0.05
perfume,perfume,POCKET,0.06,0.12,0.04,0.2,4,0,3,0,0,e0c0d0,d0b060,0.6,0.05
candle,candle,POCKET,0.06,0.12,0.06,0.2,3,0,3,0,0,f0e8d0,333333,0.7,0.02
# ---- tech
tv_plasma,tv_plasma,TWO_HAND,1.2,0.75,0.06,15.0,6,0,3,0,0,202028,404048,0.7,0.02
tv_crt,tv_crt,TWO_HAND,0.6,0.5,0.5,25.0,5,0,3,0,0,505058,222222,0.8,0.02
monitor,monitor,ONE_HAND,0.55,0.45,0.05,4.0,5,0,3,0,0,303038,505058,0.7,0.02
laptop,laptop,ONE_HAND,0.35,0.03,0.25,2.0,4,0,3,0,0,b0b0b8,333333,0.7,0.02
phone,phone,POCKET,0.07,0.012,0.14,0.18,4,0,3,0,0,202024,444444,0.6,0.05
tablet,tablet,ONE_HAND,0.18,0.01,0.25,0.5,4,0,3,0,0,d0d0d8,333333,0.6,0.05
camera,camera,POCKET,0.13,0.09,0.07,0.6,4,0,3,0,0,222222,555555,0.7,0.02
boombox,boombox,ONE_HAND,0.55,0.25,0.18,4.0,5,0,3,0,0,303030,888888,0.8,0.02
radio,radio,ONE_HAND,0.3,0.18,0.12,1.5,4,0,3,0,0,8a5a30,d0c090,0.8,0.02
console,console,ONE_HAND,0.3,0.08,0.25,2.0,4,0,3,0,0,202020,40a0e0,0.7,0.02
microwave,microwave,TWO_HAND,0.5,0.3,0.38,12.0,5,0,3,0,0,e8e8e0,333333,0.8,0.02
fan,fan,ONE_HAND,0.35,0.45,0.35,3.0,4,0,3,0,0,e0e0e0,606068,0.7,0.05
lamp_table,lamp_table,ONE_HAND,0.3,0.45,0.3,1.5,4,0,3,0,1,f0e0b0,806040,0.7,0.05
lamp_floor,lamp_floor,TWO_HAND,0.4,1.7,0.4,4.0,4,0,3,0,1,f0e8d0,404040,0.7,0.05
chandelier,chandelier,TWO_HAND,0.8,0.6,0.8,8.0,6,0,3,0,1,f0f0ff,c0a040,0.6,0.02
clock,clock,ONE_HAND,0.3,0.3,0.05,1.0,4,0,3,0,0,802020,f0f0f0,0.7,0.05
clock_grandfather,clock_grandfather,TEAM,0.5,2.0,0.35,45.0,6,0,3,0,0,5a3a20,c0a040,0.8,0.02
# ---- flat
painting,painting,TWO_HAND,0.8,0.6,0.04,3.0,4,0,3,0,0,4060a0,c0a040,0.7,0.02
frame_photo,frame_photo,POCKET,0.13,0.18,0.02,0.3,4,0,3,0,0,c0c0c0,806040,0.7,0.02
mirror,mirror,TWO_HAND,0.6,0.9,0.04,8.0,6,0,3,0,0,b0b0c0,806040,0.7,0.02
poster,poster,ONE_HAND,0.6,0.85,0.005,0.2,3,0,3,0,0,e0d0c0,ffffff,0.9,0.0
rug,rug,TWO_HAND,1.6,0.02,1.1,6.0,4,0,3,1,0,802020,c0a040,1.0,0.0
# ---- furniture
dresser,dresser,TEAM,1.0,0.9,0.5,45.0,5,1,6,0,0,6a4a2a,c0a040,0.9,0.0
nightstand,nightstand,TWO_HAND,0.45,0.55,0.4,12.0,4,1,2,0,0,7a5a3a,c0a040,0.9,0.0
shelf,shelf,TWO_HAND,0.8,1.2,0.3,10.0,4,0,3,0,0,c0c0c0,888888,0.8,0.02
bookshelf,bookshelf,TEAM,0.9,1.8,0.3,35.0,5,0,3,0,0,6a4a2a,444444,0.9,0.0
chair,chair,TWO_HAND,0.45,0.9,0.45,6.0,4,0,3,0,0,8a6a4a,444444,0.8,0.05
stool,stool,ONE_HAND,0.35,0.45,0.35,3.0,4,0,3,0,0,a07a50,5a4a3a,0.8,0.05
table,table,TEAM,1.2,0.75,0.8,30.0,5,0,3,0,0,8a6a4a,5a3a2a,0.9,0.0
mattress,mattress,TWO_HAND,1.9,0.22,0.9,20.0,4,0,3,1,0,e8e0d0,a0a0c0,1.0,0.2
pillow,pillow,ONE_HAND,0.5,0.12,0.35,0.8,3,0,3,1,0,f0f0f0,cccccc,1.0,0.1
sofa,sofa,TEAM,1.8,0.85,0.85,60.0,5,0,3,1,0,6a3a3a,333333,1.0,0.05
wardrobe,wardrobe,TEAM,1.0,2.0,0.6,70.0,5,1,5,0,0,7a5a3a,c0a040,0.9,0.0
fridge,fridge,TEAM,0.7,1.7,0.7,65.0,5,1,5,0,0,e8e8e8,666666,0.8,0.0
piano,piano,TEAM,1.5,1.2,0.65,220.0,6,0,3,0,0,101010,f0f0f0,0.9,0.0
# ---- paper / small
book,book,ONE_HAND,0.16,0.04,0.23,0.6,3,0,2,0,0,802030,f0e8d8,0.9,0.0
letter,letter,POCKET,0.11,0.005,0.22,0.02,3,0,3,0,0,f0e8d0,e0c0a0,1.0,0.0
document,document,POCKET,0.21,0.003,0.3,0.03,3,0,3,0,0,ffffff,333333,1.0,0.0
folder,folder,ONE_HAND,0.24,0.03,0.32,0.4,3,0,2,0,0,c8a860,333333,0.9,0.0
usb,usb,POCKET,0.02,0.008,0.06,0.01,3,0,3,0,0,3050c0,c0c0c8,0.7,0.1
